host,vswitchName,portGroupName,vlanId,vmotionIp,vmotionNetMask
vproc-01-1-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.41,255.255.255.0
vproc-01-2-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.42,255.255.255.0
vproc-01-3-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.43,255.255.255.0
vproc-01-4-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.44,255.255.255.0
vproc-02-1-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.51,255.255.255.0
vproc-02-2-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.52,255.255.255.0
vproc-02-3-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.53,255.255.255.0
vproc-02-4-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.54,255.255.255.0
vproc-02-5-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.55,255.255.255.0
vproc-02-6-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.56,255.255.255.0
vproc-02-7-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.57,255.255.255.0
vproc-02-8-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.58,255.255.255.0
vproc-03-1-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.71,255.255.255.0
vproc-03-2-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.72,255.255.255.0
vproc-03-3-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.73,255.255.255.0
vproc-03-4-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.74,255.255.255.0
ioproc-01-1-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.45,255.255.255.0
ioproc-01-2-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.46,255.255.255.0
ioproc-02-1-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.59,255.255.255.0
ioproc-02-2-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.60,255.255.255.0
ioproc-03-1-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.75,255.255.255.0
ioproc-03-2-esx.ousv3.iws.navy.smil.mil,vSwitch0,vmotion,1202,172.16.7.76,255.255.255.0